종목명,종목코드,시가총액_억원,시장구분
KODEX 미국나스닥100,379810,20000,ETF
KODEX 200TR,278530,20000,ETF
KCC,002380,20000,유가증권
ACE 미국30년국채액티브(H),453850,20000,ETF
농심,004370,20000,유가증권
한미사이언스,008930,20000,유가증권
KODEX CD1년금리플러스액티브(합성),481050,20000,ETF
경동나비엔,009450,10000,유가증권
다우기술,023590,10000,유가증권
DB하이텍,000990,10000,유가증권
달바글로벌,483650,10000,유가증권
효성티앤씨,298020,10000,유가증권
쿠쿠홀딩스,192400,10000,유가증권
두산우,000155,10000,유가증권
영원무역홀딩스,009970,10000,유가증권
DN오토모티브,007340,10000,유가증권
고영,098460,10000,코스닥
브이티,018290,10000,코스닥
KODEX 200선물인버스2X,252670,10000,ETF
RISE 200,148020,10000,ETF
RISE CD금리액티브(합성),477080,10000,ETF
지아이이노베이션,358570,10000,코스닥
보로노이,310210,10000,코스닥
비에이치아이,083650,10000,코스닥
CJ대한통운,000120,10000,유가증권
가온전선,000500,10000,유가증권
현대지에프홀딩스,005440,10000,유가증권
와이지엔터테인먼트,122870,10000,코스닥
SK가스,018670,10000,유가증권
현대위아,011210,10000,유가증권
서진시스템,178320,10000,코스닥
SK오션플랜트,100090,10000,유가증권
대신증권,003540,10000,유가증권
SK케미칼,285130,10000,유가증권
SK아이이테크놀로지,361610,10000,유가증권
대웅,003090,10000,유가증권
SNT다이내믹스,003570,10000,유가증권
케어젠,214370,10000,코스닥
대웅제약,069620,10000,유가증권
대우건설,047040,10000,유가증권
이수스페셜티케미컬,457190,10000,유가증권
대주전자재료,078600,10000,코스닥
태광산업,003240,10000,유가증권
호텔신라,008770,10000,유가증권
iM금융지주,139130,10000,유가증권
효성,004800,10000,유가증권
에스디바이오센서,137310,10000,유가증권
오뚜기,007310,10000,유가증권
오리온홀딩스,001800,10000,유가증권
더블유게임즈,192080,10000,유가증권
CJ ENM,035760,10000,코스닥
TIGER 미국30년국채커버드콜액티브(H),476550,10000,ETF
루닛,328130,10000,코스닥
TIGER 미국배당다우존스,458730,10000,ETF
BGF리테일,282330,10000,유가증권
동원산업,006040,10000,유가증권
롯데웰푸드,280360,10000,유가증권
롯데렌탈,089860,10000,유가증권
롯데에너지머티리얼즈,020150,10000,유가증권
롯데리츠,330590,10000,유가증권
에스티팜,237690,10000,코스닥
두산퓨얼셀,336260,10000,유가증권
파라다이스,034230,10000,유가증권
종근당,185750,10000,유가증권
올릭스,226950,10000,코스닥
디어유,376300,10000,코스닥
TIGER 차이나전기차SOLACTIVE,371460,10000,ETF
KODEX 삼성그룹,102780,10000,ETF
TIGER 차이나항셍테크,371160,10000,ETF
네이처셀,007390,10000,코스닥
오스코텍,039200,10000,코스닥
KODEX 코스닥150레버리지,233740,10000,ETF
RISE 종합채권(A-이상)액티브,385540,10000,ETF
KODEX 코스닥150,229200,10000,ETF
풍산,103140,10000,유가증권
동진쎄미켐,005290,10000,코스닥
이오테크닉스,039030,10000,코스닥
KODEX 단기채권PLUS,214980,10000,ETF
더존비즈온,012510,10000,유가증권
일진전기,103590,10000,유가증권
TIGER 25-10 회사채(A+이상)액티브,453540,10000,ETF
TIGER 25-12 금융채(AA-이상),494900,10000,ETF
TIGER CD1년금리액티브(합성),475630,10000,ETF
메리츠 KIS CD금리투자 ETN,610063,10000,ETN
TIGER MSCI Korea TR,310970,10000,ETF
에스엘,005850,10000,유가증권
팬오션,028670,10000,유가증권
메디톡스,086900,10000,코스닥
메지온,140410,10000,코스닥
금호타이어,073240,10000,유가증권
현대백화점,069960,10000,유가증권
녹십자,006280,10000,유가증권
주성엔지니어링,036930,10000,코스닥
SK리츠,395400,10000,유가증권
DL이앤씨,375500,10000,유가증권
HL만도,204320,10000,유가증권
엘앤에프,066970,10000,유가증권
LX인터내셔널,001120,10000,유가증권
한전KPS,051600,10000,유가증권
하이젠알앤엠,160190,10000,코스닥
솔브레인,357780,10000,코스닥
코리안리,003690,10000,유가증권
HD현대건설기계,267270,10000,유가증권
HD현대인프라코어,042670,10000,유가증권
ACE KRX금현물,411060,10000,ETF
HDC현대산업개발,294870,10000,유가증권
HDC,012630,10000,유가증권
ACE 미국나스닥100,367380,10000,ETF
한국카본,017960,10000,유가증권
씨젠,096530,10000,코스닥
한국앤컴퍼니,000240,10000,유가증권
OCI홀딩스,010060,10000,유가증권
ISC,095340,10000,코스닥
GS리테일,007070,10000,유가증권
카카오게임즈,293490,10000,코스닥
스튜디오드래곤,253450,10000,코스닥
HK이노엔,195940,10000,코스닥
신성델타테크,065350,10000,코스닥
코스모신소재,005070,10000,유가증권
카페24,042000,10000,코스닥
신영증권,001720,10000,유가증권
한솔케미칼,014680,10000,유가증권
엔켐,348370,10000,코스닥
테크윙,089030,10000,코스닥
GS건설,006360,10000,유가증권
원익IPS,240810,10000,코스닥
한올바이오파마,009420,10000,유가증권
ACE 테슬라밸류체인액티브,457480,10000,ETF
엠앤씨솔루션,484870,10000,유가증권
신세계,004170,10000,유가증권
티씨케이,064760,10000,코스닥
HPSP,403870,10000,코스닥
한일시멘트,300720,10000,유가증권
하이트진로,000080,10000,유가증권
롯데칠성,005300,9993,유가증권
LS에코에너지,229640,9984,유가증권
KODEX 25-12 은행채(AAA)액티브,491080,9928,ETF
하나 CD금리투자 ETN,700026,9887,ETN
SOOP,067160,9863,코스닥
LX세미콘,108320,9807,유가증권
1Q 머니마켓액티브,479080,9776,ETF
한샘,009240,9708,유가증권
롯데관광개발,032350,9687,유가증권
제이앤티씨,204270,9661,코스닥
KB발해인프라,415640,9632,유가증권
TIGER TOP10,292150,9622,ETF
미래에셋생명,085620,9612,유가증권
롯데정밀화학,004000,9598,유가증권
TIGER 미국배당다우존스타겟커버드콜2호,458760,9563,ETF
하림지주,003380,9554,코스닥
한화투자증권,003530,9376,유가증권
DL,000210,9304,유가증권
RISE 미국S&P500,379780,9294,ETF
동원시스템즈,014820,9292,유가증권
덕산네오룩스,213420,9262,코스닥
SOL 조선TOP3플러스,466920,9249,ETF
ESR켄달스퀘어리츠,365550,9227,유가증권
세아제강지주,003030,9215,유가증권
디앤디파마텍,347850,9200,코스닥
원텍,336570,9185,코스닥
